ID,Process ID,Process Name,Host Name,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Section Name,Metric Name,Metric Unit,Metric Value,mode,stall_reason,value_pct,stage
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_drain_per_warp_active.pct,%,0.05,cudnn,drain,0.05,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct,%,0.54,cudnn,lg_throttle,0.54,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,22.73,cudnn,long_scoreboard,22.73,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,0.32,cudnn,math_pipe_throttle,0.32,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0.0,cudnn,membar,0.0,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,15.9,cudnn,mio_throttle,15.9,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_misc_per_warp_active.pct,%,0.0,cudnn,misc,0.0,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_no_instruction_per_warp_active.pct,%,1.91,cudnn,no_instruction,1.91,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,5.98,cudnn,not_selected,5.98,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,17.14,cudnn,short_scoreboard,17.14,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_sleeping_per_warp_active.pct,%,0.0,cudnn,sleeping,0.0,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_tex_throttle_per_warp_active.pct,%,0.0,cudnn,tex_throttle,0.0,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,9.93,cudnn,wait,9.93,cuDNN softmax
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,0.0,framework_torch,barrier,0.0,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,%,2.22,framework_torch,branch_resolving,2.22,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,%,0.84,framework_torch,dispatch_stall,0.84,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_drain_per_warp_active.pct,%,1.03,framework_torch,drain,1.03,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct,%,7.68,framework_torch,lg_throttle,7.68,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,55.93,framework_torch,long_scoreboard,55.93,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,0.3,framework_torch,math_pipe_throttle,0.3,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0.0,framework_torch,membar,0.0,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,4.0,framework_torch,mio_throttle,4.0,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_misc_per_warp_active.pct,%,0.0,framework_torch,misc,0.0,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_no_instruction_per_warp_active.pct,%,1.2,framework_torch,no_instruction,1.2,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,4.4,framework_torch,not_selected,4.4,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,9.26,framework_torch,short_scoreboard,9.26,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_sleeping_per_warp_active.pct,%,0.0,framework_torch,sleeping,0.0,torch softmax_warp_forward
