ID,Process ID,Process Name,Host Name,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Section Name,Metric Name,Metric Unit,Metric Value,mode,stall_reason,value_pct,stage
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,17.14,cudnn,short_scoreboard,17.14,cuDNN softmax
0,17934,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,16.72,user_v1,long_scoreboard,16.72,block_loop
1,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,16.44,user,barrier,16.44,block_loop
1,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,15.92,user,short_scoreboard,15.92,block_loop
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,15.9,cudnn,mio_throttle,15.9,cuDNN softmax
0,17972,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,14.19,user_v2,barrier,14.19,block_loop
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,13.68,baseline,short_scoreboard,13.68,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,13.68,baseline,wait,13.68,baseline kernel
0,17934,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,12.6,user_v1,wait,12.6,block_loop
0,17972,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,11.95,user_v2,short_scoreboard,11.95,block_loop
